Reading parameters:
	 rhs_function=2
	 nx=161
	 ny=161
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
Step 532, Diff=6.05597e-07
Step 533, Diff=6.04658e-07
Step 534, Diff=6.03722e-07
Step 535, Diff=6.0279e-07
Step 536, Diff=6.0186e-07
Step 537, Diff=6.00934e-07
Step 538, Diff=6.0001e-07
Step 539, Diff=5.9909e-07
Step 540, Diff=5.98172e-07
Step 541, Diff=5.97258e-07
Step 542, Diff=5.96347e-07
Step 543, Diff=5.95438e-07
Step 544, Diff=5.94533e-07
Step 545, Diff=5.9363e-07
Step 546, Diff=5.9273e-07
Step 547, Diff=5.91834e-07
Step 548, Diff=5.9094e-07
Step 549, Diff=5.90049e-07
Step 550, Diff=5.89161e-07
Step 551, Diff=5.88276e-07
Step 552, Diff=5.87393e-07
Step 553, Diff=5.86514e-07
Step 554, Diff=5.85637e-07
Step 555, Diff=5.84763e-07
Step 556, Diff=5.83892e-07
Step 557, Diff=5.83023e-07
Step 558, Diff=5.82157e-07
Step 559, Diff=5.81294e-07
Step 560, Diff=5.80434e-07
Step 561, Diff=5.79577e-07
Step 562, Diff=5.78722e-07
Step 563, Diff=5.7787e-07
Step 564, Diff=5.7702e-07
Step 565, Diff=5.76173e-07
Step 566, Diff=5.75329e-07
Step 567, Diff=5.74488e-07
Step 568, Diff=5.73649e-07
Step 569, Diff=5.72812e-07
Step 570, Diff=5.71979e-07
Step 571, Diff=5.71147e-07
Step 572, Diff=5.70319e-07
Step 573, Diff=5.69493e-07
Step 574, Diff=5.68669e-07
Step 575, Diff=5.67848e-07
Step 576, Diff=5.6703e-07
Step 577, Diff=5.66214e-07
Step 578, Diff=5.65401e-07
Step 579, Diff=5.6459e-07
Step 580, Diff=5.63781e-07
Step 581, Diff=5.62975e-07
Step 582, Diff=5.62172e-07
Step 583, Diff=5.61371e-07
Step 584, Diff=5.60572e-07
Step 585, Diff=5.59776e-07
Step 586, Diff=5.58982e-07
Step 587, Diff=5.5819e-07
Step 588, Diff=5.57401e-07
Step 589, Diff=5.56614e-07
Step 590, Diff=5.5583e-07
Step 591, Diff=5.55048e-07
Step 592, Diff=5.54268e-07
Step 593, Diff=5.53491e-07
Step 594, Diff=5.52716e-07
Step 595, Diff=5.51943e-07
Step 596, Diff=5.51172e-07
Step 597, Diff=5.50404e-07
Step 598, Diff=5.49638e-07
Step 599, Diff=5.48875e-07
Step 600, Diff=5.48113e-07
Step 601, Diff=5.47354e-07
Step 602, Diff=5.46597e-07
Step 603, Diff=5.45842e-07
Step 604, Diff=5.4509e-07
Step 605, Diff=5.4434e-07
Step 606, Diff=5.43591e-07
Step 607, Diff=5.42845e-07
Step 608, Diff=5.42102e-07
Step 609, Diff=5.4136e-07
Step 610, Diff=5.40621e-07
Step 611, Diff=5.39883e-07
Step 612, Diff=5.39148e-07
Step 613, Diff=5.38415e-07
Step 614, Diff=5.37684e-07
Step 615, Diff=5.36955e-07
Step 616, Diff=5.36228e-07
Step 617, Diff=5.35504e-07
Step 618, Diff=5.34781e-07
Step 619, Diff=5.3406e-07
Step 620, Diff=5.33342e-07
Step 621, Diff=5.32625e-07
Step 622, Diff=5.31911e-07
Step 623, Diff=5.31199e-07
Step 624, Diff=5.30488e-07
Step 625, Diff=5.2978e-07
Step 626, Diff=5.29074e-07
Step 627, Diff=5.28369e-07
Step 628, Diff=5.27667e-07
Step 629, Diff=5.26966e-07
Step 630, Diff=5.26268e-07
Step 631, Diff=5.25571e-07
Step 632, Diff=5.24877e-07
Step 633, Diff=5.24184e-07
Step 634, Diff=5.23494e-07
Step 635, Diff=5.22805e-07
Step 636, Diff=5.22118e-07
Step 637, Diff=5.21433e-07
Step 638, Diff=5.2075e-07
Step 639, Diff=5.20069e-07
Step 640, Diff=5.1939e-07
Step 641, Diff=5.18712e-07
Step 642, Diff=5.18037e-07
Step 643, Diff=5.17363e-07
Step 644, Diff=5.16691e-07
Step 645, Diff=5.16021e-07
Step 646, Diff=5.15353e-07
Step 647, Diff=5.14687e-07
Step 648, Diff=5.14022e-07
Step 649, Diff=5.1336e-07
Step 650, Diff=5.12699e-07
Step 651, Diff=5.1204e-07
Step 652, Diff=5.11382e-07
Step 653, Diff=5.10727e-07
Step 654, Diff=5.10073e-07
Step 655, Diff=5.09421e-07
Step 656, Diff=5.08771e-07
Step 657, Diff=5.08123e-07
Step 658, Diff=5.07476e-07
Step 659, Diff=5.06831e-07
Step 660, Diff=5.06188e-07
Step 661, Diff=5.05546e-07
Step 662, Diff=5.04906e-07
Step 663, Diff=5.04268e-07
Step 664, Diff=5.03632e-07
Step 665, Diff=5.02997e-07
Step 666, Diff=5.02364e-07
Step 667, Diff=5.01733e-07
Step 668, Diff=5.01103e-07
Step 669, Diff=5.00475e-07
Step 670, Diff=4.99848e-07
Step 671, Diff=4.99224e-07
Step 672, Diff=4.98601e-07
Step 673, Diff=4.97979e-07
Step 674, Diff=4.97359e-07
Step 675, Diff=4.96741e-07
Step 676, Diff=4.96125e-07
Step 677, Diff=4.9551e-07
Step 678, Diff=4.94896e-07
Step 679, Diff=4.94285e-07
Step 680, Diff=4.93674e-07
Step 681, Diff=4.93066e-07
Step 682, Diff=4.92459e-07
Step 683, Diff=4.91853e-07
Step 684, Diff=4.9125e-07
Step 685, Diff=4.90647e-07
Step 686, Diff=4.90046e-07
Step 687, Diff=4.89447e-07
Step 688, Diff=4.8885e-07
Step 689, Diff=4.88253e-07
Step 690, Diff=4.87659e-07
Step 691, Diff=4.87066e-07
Step 692, Diff=4.86474e-07
Step 693, Diff=4.85884e-07
Step 694, Diff=4.85296e-07
Step 695, Diff=4.84709e-07
Step 696, Diff=4.84123e-07
